"customer_id","ls__customer_id__customer_name","customer_city","geo__customer_city__city_pushpin_longitude","geo__customer_city__city_pushpin_latitude","customer_country","customer_email","customer_state","customer_created_date","wdf__client_id"
"C-POWBCK4J","Diane Hayes","Buckley","-122.251743","47.205689","United States","diane.hayes@euodio.ca","Washington","2021-08-01","merchant__bigboxretailer"
"C-7DYJAGLA","Lisa Charles","Birmingham","-86.799245","33.370496","United States","lisa.charles@Aliquam.net","Alabama","2021-08-01","merchant__electronics"
"C-4YN6443C","Kenneth Thomas","Euless","-97.320239","32.74695","United States","kenneth.thomas@icq.com","Texas","2021-08-01","merchant__clothing"
"C-K1O6QMFR","Jordan Pierce","Fredericton","-66.642225","45.957722","Canada","jordan.pierce@in.edu","New Brunswick","2021-08-01","merchant__bigboxretailer"
"C-KMPFKTIQ","Brent Johnson","Salt Lake City","-111.807371","40.651396","United States","brent.johnson@hexun.com","Utah","2021-08-02","merchant__bigboxretailer"
"C-7YPDIBK8","Stephen Miller","Humble","-95.58356","29.660233","United States","stephen.miller@nonsollicitudin.net","Texas","2021-08-02","merchant__clothing"
"C-4RJNAW6R","Brenda Spence","Bay Roberts","-53.271769","47.581291","Canada","brenda.spence@Aliquam.net","Newfoundland and Labrador","2021-08-02","merchant__electronics"
"C-754UJQC8","Austin Mcdaniel","Fresno","-119.793786","36.791785","United States","austin.mcdaniel@nec.co.uk","California","2021-08-03","merchant__bigboxretailer"
"C-NEASZQT3","Don Hood","Sacramento","-121.335946","38.563162","United States","don.hood@icq.com","California","2021-08-03","merchant__electronics"
"C-36NAG0QK","Jordan Martin","Humble","-95.58336","29.660254","United States","jordan.martin@bizjournals.com","Texas","2021-08-03","merchant__electronics"
"C-T685XO9O","Harold Anderson","Sioux City","-96.459","42.495156","United States","harold.anderson@nunc.net","Iowa","2021-08-03","merchant__electronics"
"C-EXSDKRDX","Christopher Cohen","Kalamazoo","-85.562846","42.198475","United States","christopher.cohen@nec.co.uk","Michigan","2021-08-03","merchant__electronics"
"C-2LRFEZVR","Tyler Callahan","San Diego","-117.157869","32.746742","United States","tyler.callahan@bbc.co.uk","California","2021-08-04","merchant__bigboxretailer"
"C-A1A1X3SB","Rebecca George","Finksburg","-76.951978","39.397222","United States","rebecca.george@bizjournals.com","Maryland","2021-08-04","merchant__bigboxretailer"
"C-S6OGKTV1","Patrick Cobb","Harrisburg","-76.886767","40.273228","United States","patrick.cobb@nec.co.uk","Pennsylvania","2021-08-04","merchant__electronics"
